sequence,item_name,item_type,major_category,archetype,slot_family,allowed_class,flavor_text,base_level,drop_min_level,drop_max_level_raw,drop_max_level_capped,prompt_item_description
1,Tin Ring,Ring,jewelry,ring,ring,all,"Dull tin with hammer ripples, bought because bare hands look like defeat.",0,0,10,10,"Plain tin band with hammer ripples and dull gray shine, small work dents, isolated item, no glow."
2,Brass Band,Ring,jewelry,ring,ring,all,"Verdigris stains the skin green by noon, a cheap signal of long work.",4,0,14,14,"Simple brass ring with verdigris at seams, polish worn off at contact points, shallow scratches, isolated item, no glow."
3,Worn Loop,Ring,jewelry,ring,ring,all,"A rushed resize left the seam proud. Someone came back to claim it.",8,0,18,18,"Thin ring with visible solder seam and uneven roundness, scuffed finish and small file marks, isolated item, no glow."
4,Plain Ring,Ring,jewelry,ring,ring,all,"Plain and smooth, it offers no luck, only a little dignity.",12,2,22,22,"Smooth plain band with subtle flat facet from wear, light scratches and dull polish, isolated item, no glow."
5,Rough Band,Ring,jewelry,ring,ring,all,"Rough on the knuckle, it teaches you to keep the fist closed.",16,6,26,26,"Thicker ring with roughened texture and gouges, matte metal with grime in recesses, isolated item, no glow."
6,Iron Ring,Ring,jewelry,ring,ring,all,"Heavy iron feels like a small shackle. Hard times prefer reminders.",20,10,30,30,"Dark iron band with blunt edges and oil dark patina, pitting and work dents, isolated item, no glow."
7,Guard Band,Ring,jewelry,ring,ring,all,"Stamped with a post number, it asks for order when you have none.",24,14,34,34,"Service ring with stamped numerals and shallow shield face, scratches from armor and tools, isolated item, no glow."
8,Steady Loop,Ring,jewelry,ring,ring,all,"Low profile and quiet, made for hands that do not seek praise.",28,18,38,38,"Low profile band with beveled outer edge, worn smooth by constant use, fine abrasions, isolated item, no glow."
9,Field Ring,Ring,jewelry,ring,ring,all,"Grime settles in shallow cuts and refuses to leave. That honesty suits the road.",32,22,42,42,"Ring with shallow line engraving filled with dark grime, dull polish and small edge chips, isolated item, no glow."
10,Steel Band,Ring,jewelry,ring,ring,all,"Steel keeps its circle after hard knocks. Steadiness counts as ornament.",36,26,46,46,"Steel ring with brushed finish and slight flat face, impact nicks on the rim, isolated item, no glow."
11,Runed Ring,Ring,jewelry,ring,ring,all,"Thumb grooves worn smooth from waiting. Worry always finds a place to stand.",40,30,50,50,"Ring with shallow carved thumb grooves as texture, grime in cuts and polish on edges, isolated item, no glow."
12,Silver Band,Ring,jewelry,ring,ring,all,"Tarnish turns silver to smoke, the shine returns only where the hand insists.",44,34,54,54,"Silver ring with tarnished recesses and brighter worn highlights, tiny scratches and edge wear, isolated item, no glow."
13,Warden Ring,Ring,jewelry,ring,ring,all,"A blunt face and an official stamp make the wearer feel watched.",48,38,58,58,"Stout signet style ring with flat face and worn crest stamp, scuffs and dent marks, isolated item, no glow."
14,Oath Loop,Ring,jewelry,ring,ring,all,"Notched by chain and repaired without pride. Holding together is its only vow.",52,42,62,62,"Ring with a small notch and repaired edge, matte finish with clear filing marks, isolated item, no glow."
15,Dawn Ring,Ring,jewelry,ring,ring,all,"A thin edge catches first light, small defiance for small days.",56,46,66,66,"Warm toned ring with worn sunburst etch, gentle polish and tarnish in recesses, isolated item, no glow."
16,Storm Band,Ring,jewelry,ring,ring,all,"Salt pits roughen the rim, grip stays sure when the weather turns.",60,50,70,70,"Band with salt pitting and wind worn texture, darker grime in pits, isolated item, no glow."
17,Veil Ring,Ring,jewelry,ring,ring,all,"Darkened to kill the shine, chosen by people who prefer to pass unnoticed.",64,54,74,74,"Darkened ring with subdued finish and edge bevel, wear polished at finger contact, isolated item, no glow."
18,Oracle Band,Ring,jewelry,ring,ring,all,"A cloudy stone sits low and refuses to flatter. Truth is better than comfort.",68,58,78,78,"Ring with a small cloudy cabochon set low, metal scuffed and setting slightly bent, isolated item, no glow."
19,Kings Ring,Ring,jewelry,ring,ring,all,"A crest worn nearly blank by hard grips. Authority looks more honest this way.",72,62,82,82,"Signet ring with worn crest face and rubbed edges, dull shine and dents, isolated item, no glow."
20,Seraph Loop,Ring,jewelry,ring,ring,all,"Sharp cutwork against the skin keeps you awake. Comfort was never promised.",76,66,86,86,"Slender ring with wing like cutwork and sharp geometry, edge wear and tiny bends, isolated item, no glow."
21,Meridian Ring,Ring,jewelry,ring,ring,all,"A straight inlay line holds the gaze. Alignment begins with the hand.",80,70,90,90,"Ring with a single straight inlay stripe and measured proportions, scuffs and polished contact points, allow very faint contained light in the inlay only, isolated item."
22,Dominion Band,Ring,jewelry,ring,ring,all,"Square and heavy, it belongs to those who kept walking after the others sat down.",84,74,94,94,"Heavy squared band with deep tool marks, grime in corners and repair scratches, small inset plate with cold contained light, isolated item."
23,Revenant Ring,Ring,jewelry,ring,ring,all,"Cold weight refuses warmth, the mark of teeth on the edge still shows. You keep wearing it.",88,78,98,98,"Dark ring with pale seam inlay and worn inner band, subtle corrosion and handling polish, allow restrained inner glow along the seam only, isolated item."
24,Firstlight Band,Ring,jewelry,ring,ring,all,"A bright seam holds under strain and stays quiet. Let the hand speak instead.",92,82,102,100,"Ring with thin luminous seam set into the metal, light tightly contained with no flare, surface wear and nicks, isolated item."
25,Sovereign Ring,Ring,jewelry,ring,ring,all,"Refined and heavy with duty, the circle feels like command made small.",96,86,106,100,"Refined signet ring with disciplined geometry and sealed inner channel, allow strong but fully contained inner glow in the channel only, worn edges and hand polish, isolated item."
